cfg,loss_pct,delay_ms,repeat,target_bytes,recv_bytes,sec,mbps
A,0,6,1,4194304,4194304,0.863,4.8601
A,0,6,2,4194304,4194304,0.857,4.8942
A,0,6,3,4194304,4194304,0.880,4.7663
A,1,6,1,4194304,4194304,1.360,3.0840
A,1,6,2,4194304,4194304,1.342,3.1254
A,1,6,3,4194304,4194304,1.120,3.7449
A,2,6,1,4194304,4194304,1.539,2.7253
A,2,6,2,4194304,4194304,1.435,2.9229
A,2,6,3,4194304,4194304,1.334,3.1442
A,5,6,1,4194304,4194304,4.043,1.0374
A,5,6,2,4194304,4194304,2.858,1.4676
A,5,6,3,4194304,4194304,3.411,1.2296
A,10,6,1,4194304,4194304,32.325,0.1298
A,10,6,2,4194304,4194304,6.068,0.6912
A,10,6,3,4194304,4194304,12.447,0.3370
